13:44:26         0.00      0.00      0.00      0.00      0.00
13:44:31         0.00      0.00      0.00      0.00      0.00
13:44:36         0.00      0.00      0.00      0.00      0.00
13:44:41         0.00      0.00      0.00      0.00      0.00
13:44:46         0.00      0.00      0.00      0.00      0.00
13:44:51         0.00      0.00      0.00      0.00      0.00
13:44:56         0.00      0.00      0.00      0.00      0.00
13:45:01         0.00      0.00      0.00      0.00      0.00
13:45:06         0.00      0.00      0.00      0.00      0.00
13:45:11         0.00      0.00      0.00      0.00      0.00
13:45:16         0.00      0.00      0.00      0.00      0.00
13:45:21         0.00      0.00      0.00      0.00      0.00
13:45:26         0.00      0.00      0.00      0.00      0.00
13:45:31         0.00      0.00      0.00      0.00      0.00
13:45:36         0.00      0.00      0.00      0.00      0.00
13:45:41         0.00      0.00      0.00      0.00      0.00
13:45:46         0.00      0.00      0.00      0.00      0.00
13:45:51         0.00      0.00      0.00      0.00      0.00
13:45:56         0.00      0.00      0.00      0.00      0.00
13:46:01         0.00      0.00      0.00      0.00      0.00
13:46:06         0.00      0.00      0.00      0.00      0.00
13:46:11         0.00      0.00      0.00      0.00      0.00
13:46:16         0.00      0.00      0.00      0.00      0.00
